"id","name","quality","address","phone","uid","lat","long","type","licence","expiration","administrator","capacity","ages","inspector","subsidiary","facility_id","inspections","inspection_first","inspection_last","inspection_shsi","inspection_complicant","inspection_violation","age_min","age_max"
47201,"Abundant Love Learning Center - West End",NA,"3712 West End Drive, RICHMOND, VA  23294","(804) 993-3230","47201_8a1d173277b9e8f7905ac19f58f18bf9",37.6380690176217,-77.5461160007613,"Child Day Center","Two Year","March 6, 2024"," Bessie  Fortune",89,"1 month - 12 years 11 months","Sharon  Curlee:  (804) 840-8312","Yes",1109062,3,"Aug. 16, 2021,Aug. 17, 2021","March 8, 2022",1,0,2,0,12
23893,"Academy of Christian Education",NA,"Suite 150, RESTON, VA  20191","(703) 471-2132","23893_12b2a8438834dc21617f32d64e725bd2",38.93764,-77.3311851,"Child Day Center","Two Year","Sept. 27, 2023","Ms. Donna  Strater",147,"2 years 6 months - 12 years","Sandra  D'Imperio:  (703) 479-4675","No",1070057,10,"Jan. 18, 2018","Dec. 6, 2022",0,0,5,2,12
34519,"Accotink Academy Preschool",NA,"6215 Rolling Road, SPRINGFIELD, VA  22152","(703) 451-5797","34519_9fc24a6287aab0acd1444434af073f92",38.7826261943125,-77.2342890860672,"Child Day Center","Two Year","Nov. 10, 2024"," Courtney  Demers",150,"2 years 9 months - 6 years","Mark  Davis:  (804) 629-7103","No",1106185,8,"March 15, 2018","Oct. 6, 2021",0,0,4,2,6
48198,"Acton Academy Falls Church",NA,"Suite 110C, FALLS CHURCH, VA  22046","(202) 615-5552","48198_98f799b2896a4ad11a7e1473d0fc487c",38.8925292859538,-77.1858409293786,"Child Day Center","Two Year","Dec. 15, 2024"," Barbra  Jauregui Wurst",40,"3 years - 12 years 11 months","Ariel  Hayes:  (804) 629-7124","No",1109269,3,"June 14, 2022","Dec. 5, 2022",0,0,1,3,12
44033,"Acton Academy Hampton Roads",NA,"516B Albemarle Drive, CHESAPEAKE, VA  23322","(757) 410-5704","44033_2a90de69375dfcd54c7ea46e571feabd",36.7150401415934,-76.2555070014784,"Child Day Center","Two Year","April 4, 2024","Ms. Jackie  Hill",25,"2 years 6 months - 12 years","Rene  Old:  (757) 404-1784","No",1108308,14,"Jan. 16, 2018","Dec. 6, 2022",1,2,12,2,12
37229,"Adams International School",NA,"1655 Broad Street Road, MAIDENS, VA  23102","(804) 784-0141","37229_0734ac87e3f6c1bf012a5e40b15f9da3",37.7096389875326,-77.8067869869092,"Child Day Center","Two Year","Dec. 21, 2024","Ms. Tamara  Adams",56,"2 years 6 months - 12 years","Sharon  Curlee:  (804) 840-8312","No",1106724,9,"May 17, 2018","Jan. 3, 2023",0,0,5,2,12
39009,"Adeela Saleem",NA,"2707 Woodwalk Court, ALEXANDRIA, VA  22306","(703) 678-6278","39009_a745e1d40a47363cf7b9270e428c43cf",38.7437536095939,-77.0781540112003,"Family Day Home","One Year","Nov. 22, 2023",NA,5,"Birth - 12 years 11 months","Pernille  Brandt:  (703) 203-8659","Yes",1108523,14,"April 17, 2018","Nov. 7, 2022",4,0,7,0,12
17054,"Adela Luning",NA,"6010 Munson Hill Road, FALLS CHURCH, VA  22041","(703) 578-0780","17054_2eccfb88cdae00290f2814f02b01fbc3",38.8594353147128,-77.1387887825904,"Family Day Home","Two Year","April 16, 2023",NA,12,"3 months - 5 years 11 months","Sheila F Nelson:  (804) 629-7489","No",873313,10,"March 16, 2018","Aug. 10, 2022",0,0,3,0,5
27037,"Adelaide Nyamedi",NA,"15039 Coronet Place, WATERFORD, VA  20197","(571) 258-9124","27037_0ca15468f5c29cd508f7c50cccce49a6",39.2002880057321,-77.665403977812,"Family Day Home","One Year","Sept. 15, 2023",NA,12,"1 month - 12 years 11 months","Mark  Davis:  (804) 629-7103","No",1105143,12,"March 26, 2018","Sept. 8, 2022",0,0,12,0,12
8079,"Advent Christian Childcare Center",NA,"8079 Studley Road, MECHANICSVILLE, VA  23116","(804) 746-0279","8079_01d834f421505ad35dfdc9846d9722d3",37.6530320139849,-77.3753939836171,"Child Day Center","Two Year","Feb. 11, 2024"," Pamela  Dicken",188,"2 years - 12 years 11 months","Lynn  Powers:  (804) 840-8260","Yes",3506,20,"Jan. 26, 2018","Sept. 27, 2022",10,0,5,2,12
14404,"Adventureland - Hylton Boys and Girls Club",NA,"5070 Dale Boulevard, WOODBRIDGE, VA  22193","(703) 670-3311","14404_31efe3d116c1dd916b433044e74deba5",38.6609856684976,-77.3606202087182,"Child Day Center","Two Year","Sept. 13, 2023","Ms. Ella  Austin",240,"5 years - 12 years 11 months","Angela  Dudek:  (804) 629-8167","Yes",751435,19,"July 27, 2018","Aug. 11, 2022",9,0,9,5,12
48701,"Afaf Ahmad",NA,"8342 Middle Ruddings Drive, LORTON, VA  22079","(571) 225-8749","48701_036053bda3d22bf06a2ef70cc22d245f",38.6969612579313,-77.232842034303,"Family Day Home","Conditional","Feb. 28, 2023",NA,7,"1 month - 6 years 11 months","Sarah  Marbert:  (703) 479-4678","No",1110384,3,"Aug. 29, 2022","Jan. 12, 2023",0,0,2,0,6
31766,"Afghani Abawi",NA,"4112 Plaza Lane, FAIRFAX, VA  22033","(703) 378-7583","31766_bd537718d87b0d2b333753267a111e92",38.8783350395404,-77.4032434436508,"Family Day Home","One Year","June 14, 2023",NA,7,"3 months - 5 years 11 months","Mark  Davis:  (804) 629-7103","No",1106322,11,"Jan. 29, 2018","Oct. 19, 2022",0,0,9,0,5
43995,"Afsaneh Shahbazi",NA,"608 Thelma Circle, SW, VIENNA, VA  22180","(202) 297-2513","43995_b04bfcba189c42ecf3128fd6e149b7dd",38.8902209554288,-77.2674544329138,"Family Day Home","Two Year","April 29, 2023",NA,12,"2 years 6 months - 6 years","Leah  Pagala:  (703) 537-6757","No",1109496,11,"April 12, 2018","Feb. 6, 2018",0,0,5,2,6
47840,"Afshah Khan",NA,"4405 Groombridge Way, ALEXANDRIA, VA  22309","(571) 331-7720","47840_2e58afe662b8696d4bf24dc69e15874e",38.732682330875,-77.1075903331431,"Family Day Home","One Year","Sept. 9, 2023",NA,5,"Birth - 12 years 11 months","Pamela  Sneed:  (804) 629-2691","No",1110302,5,"March 8, 2022","Aug. 30, 2022",2,0,2,0,12
20848,"Agatha Agyei",NA,"6824 Ontario Street, SPRINGFIELD, VA  22152","(703) 866-2598","20848_985201bb554baa0e9109f171cd393364",38.7666412344047,-77.2261842886108,"Family Day Home","One Year","May 1, 2023",NA,12,"2 months - 12 years 11 months","Jessica  Willis:  (571) 352-1453","Yes",998101,18,"April 20, 2018","April 29, 2022",9,0,7,0,12
25790,"Aida Chavera",NA,"6616 Green Ash Court, SPRINGFIELD, VA  22152","(703) 913-6359","25790_6e23997ed33b9752f8f6837a42ae0a2f",38.7708776159076,-77.2601807849762,"Family Day Home","Two Year","Dec. 5, 2023",NA,12,"2 months - 5 years 11 months","Stephanie  Salvatori:  (571) 389-0980","No",1094827,10,"May 14, 2018","Dec. 5, 2022",0,0,1,0,5
46221,"Aimee McGrath",NA,"7413 Clifton Quarry Drive, CLIFTON, VA  20124","(703) 830-3168","46221_bb716eda575800b1c9dd518bebe8a0f0",38.787394659029,-77.4179347406225,"Family Day Home","Two Year","Nov. 14, 2024",NA,7,"Birth - 12 years 11 months","Lisa  Hudson:  (571) 389-2459","No",1110026,7,"May 8, 2020","Oct. 27, 2022",0,0,2,0,12
18017,"Aisha Bhatty",NA,"7613 Long Pine Drive, SPRINGFIELD, VA  22151","(703) 569-3707","18017_8149abe759e7dc5f33dbdb40b55b903a",38.7944733858083,-77.206707176383,"Family Day Home","Three Year","March 5, 2023",NA,7,"Birth - 12 years 11 months","Sheila F Nelson:  (804) 629-7489","No",909605,9,"May 22, 2019","Sept. 13, 2022",0,0,1,0,12
47050,"Aishah Ramsey",NA,"8606 Proctors Run Drive, NORTH CHESTERFIELD, VA  23237","(434) 623-0405","47050_4b40339cd82e67554e9760a23628fe77",37.4014869925573,-77.4598890158627,"Family Day Home","One Year","Nov. 20, 2023",NA,12,"1 year 3 months - 12 years","Sharon  Curlee:  (804) 840-8312","Yes",1110152,8,"April 22, 2021","Nov. 17, 2022",2,0,5,1,12
40997,"Al Fatih Academy",NA,"12300 Pinecrest Road, RESTON, VA  20191","(703) 437-9382","40997_b279c52e581aa95319272f63125829bd",38.9368974272799,-77.3726795042738,"Child Day Center","Two Year","Oct. 30, 2023"," Amina  Husain",40,"2 years 6 months - 12 years","Maria  Soto:  (571) 835-5058","No",1107699,10,"Feb. 27, 2018","Sept. 20, 2022",0,0,5,2,12
40461,"Albemarle Montessori Children's Community",NA,"1550-1562 Insurance Lane, CHARLOTTESVILLE, VA  22911","(434) 244-2471","40461_2f0c146c278ed645840887cec1fe8fb4",38.119471011739,-78.4478930283561,"Child Day Center","Two Year","Aug. 3, 2023","Mrs. Alice  Catlin",138,"1 year 5 months - 12 years","Beth  Orebaugh:  (540) 847-9173","No",1107536,24,"Feb. 6, 2018","Nov. 29, 2022",0,4,11,1,12
33248,"Albert Harris Elementary Boys & Girls Clubs Afterschool Program",NA,"710 Smith Rd., MARTINSVILLE, VA  24112","(276) 806-8264","33248_a4fe9d2e429c86d56be7209592a2cf84",36.6917730354144,-79.8869203072214,"Child Day Center","Two Year","June 17, 2023"," Marisa  Womack",200,"5 years - 12 years 11 months","Rebecca  Forestier:  (540) 309-2835","Yes",1105943,23,"April 17, 2018","April 8, 2022",10,0,12,5,12
9260,"Aldersgate Day School",NA,"1301 Collingswood Road, ALEXANDRIA, VA  22308","(703) 768-8351","9260_237685156d21cb223934c5041eec324a",38.7331543577524,-77.0564333987685,"Child Day Center","Two Year","May 9, 2023","Ms. Patricia  Spitnale",150,"1 year - 5 years 11 months","Derek  Acosta:  (703) 554-4995","No",281937,8,"April 30, 2018","Jan. 25, 2022",0,0,4,1,5
17028,"Aldersgate New Creation Kinderprep",NA,"4320 Bruce Road, CHESAPEAKE, VA  23321","(757) 673-4602","17028_2693651f5dab4ca5035cbf3b49ac40e0",36.845783994927,-76.4135199675399,"Child Day Center","Two Year","May 25, 2023","Mrs. Carla  Bell",160,"2 years 6 months - 8 years","Heather  Harrell:  (757) 334-4329","No",872643,8,"April 12, 2018","Oct. 21, 2022",0,0,3,2,8
17426,"Aldrin SACC",NA,"11375 Center Harbor Road, RESTON, VA  20194","(703) 904-3860","17426_40de44af69c883f0865d85af13de9eff",38.9797440399321,-77.3379694564911,"Child Day Center","Two Year","March 7, 2023","Mr. Chris  Scales",100,"5 years - 12 years 11 months","Leah  Pagala:  (703) 537-6757","Yes",884897,14,"April 6, 2018","Oct. 24, 2022",7,0,3,5,12
38189,"Alena Stewart",2,"10114 Holly Trace Court, CHESTERFIELD, VA  23832","(804) 715-4525","38189_5a78e752fdce24705af5f34bf95bbaa6",37.3762119921745,-77.4943170126035,"Family Day Home","One Year","Feb. 2, 2023",NA,12,"1 month - 12 years 11 months","Heather  Dapper:  (804) 625-2304","Yes",1108340,15,"Feb. 8, 2018","March 29, 2022",5,1,6,0,12
44030,"Alex Garcia",1,"4220 Corcoran Street, ALEXANDRIA, VA  22309","(571) 839-5659","44030_d1c7a540e9a0448dde17b710b2d3263c",38.7434891605486,-77.1076327455731,"Family Day Home","One Year","April 10, 2023",NA,12,"1 month - 12 years 11 months","Sarah  Marbert:  (703) 479-4678","Yes",1109504,22,"Feb. 12, 2018","March 21, 2022",10,1,11,0,12
47912,"Alexandria Day Care LLC d.b.a. Tiera Encantada Ford",NA,"4401 Ford Avenue, Suite 100, ALEXANDRIA, VA  22302","(571) 312-0185","47912_4956217a10cfa25591f1b7b6cbcca824",38.8367970096119,-77.1045409967678,"Child Day Center","Two Year","Dec. 6, 2024"," Melissa  Swanston",178,"1 month - 6 years ","Eureka  Nance:  (703) 638-5968","No",1109243,4,"May 12, 2022","Dec. 2, 2022",0,1,3,0,6
42630,"Alganesh Weldgargis",NA,"5824 Apsley House Court, ALEXANDRIA, VA  22310","(703) 967-4000","42630_3d2f2a319603dcb4bfa18376d93980d0",38.7846295529905,-77.1354033318979,"Family Day Home","Two Year","Nov. 17, 2024",NA,8,"1 month - 9 years 11 months","Lisa  Hudson:  (571) 389-2459","No",1109345,10,"May 17, 2018","Oct. 28, 2021",0,0,7,0,9
16660,"Algonkian CASA and Camps",NA,"20196 Carter Ct., STERLING, VA  20165","(703) 777-0343","16660_e83aacc178223a0ec784efb78aa19a43",39.0567809804607,-77.4098600341984,"Child Day Center","Two Year","Jan. 22, 2023"," Jessica  Nalls",75,"5 years - 12 years 11 months","Pernille  Brandt:  (703) 203-8659","No",862885,17,"Feb. 21, 2018","Jan. 11, 2023",4,0,5,5,12
35547,"Alice Matthews",NA,"3933 Fairfax Farms Road, FAIRFAX, VA  22033","(703) 218-1608","35547_358f393e2a39f9e89d24ec8501ac6965",38.8643902767749,-77.3475176176743,"Family Day Home","Two Year","April 22, 2023",NA,12,"1 month - 10 years 11 months","Mahrukh  Aziz:  (571) 835-4718","No",1107560,9,"April 9, 2018","April 30, 2019",0,0,5,0,10
32054,"Alicia Villagra",NA,"4102 Dakota Court, ALEXANDRIA, VA  22312","(703) 914-4923","32054_91b6ea3ed13dae0881e6c8ebdbeaaad9",38.8349672820582,-77.1498507993062,"Family Day Home","One Year","Sept. 2, 2023",NA,12,"Birth - 5 years 11 months","Maria  Robles-Lopez:  (703) 397-3827","Yes",1106434,22,"Feb. 9, 2018","Aug. 17, 2022",10,1,18,0,5
46528,"Aliesha Miffin",NA,"1829 Louisa Street, HENRICO, VA  23231","(804) 222-2386","46528_54d3f4e51666998719a267ffef487865",37.5049309933115,-77.3833830269908,"Family Day Home","One Year","May 15, 2023",NA,10,"1 month - 12 years 11 months","Kandra  Brown:  (804) 929-3771","Yes",1110080,9,"Oct. 20, 2020","Dec. 20, 2022",3,0,6,0,12
44103,"Alina Podgornaia",NA,"6936 Regent Lane, FALLS CHURCH, VA  22042","(202) 492-2282","44103_5552d9245bbdcac30cecabf7d22cbc8a",38.8657674234667,-77.1864601863485,"Family Day Home","Two Year","May 27, 2023",NA,12,"2 years - 6 years 11 months","Stephanie  Salvatori:  (571) 389-0980","No",1109520,11,"Jan. 26, 2018","Nov. 29, 2022",0,0,6,2,6
41699,"Alison Trimpe",4,"3157 Earlysville Road, EARLYSVILLE, VA  22936","(434) 973-8736","41699_ff3485da553e66b7f58f18dc46fe16e5",38.1210810077009,-78.4617420278777,"Family Day Home","Three Year","Sept. 20, 2023",NA,12,"2 years - 12 years 11 months","Beth  Orebaugh:  (540) 847-9173","No",1109017,10,"March 20, 2018","Sept. 19, 2022",0,0,0,2,12
31309,"All About Children",NA,"931 GlenRock Road, NORFOLK, VA  23502","(757) 455-9665","31309_66f4f9ee68514da5fcb3e3b824e121ad",36.854383995223,-76.2033330165797,"Child Day Center","Two Year","June 30, 2024","Ms. Adrionna  Charles",119,"1 month - 12 years 11 months","Kimberly  Sampson:  (757) 354-7307","Yes",1105600,21,"May 3, 2018","Nov. 14, 2022",10,1,8,0,12
41940,"All About Children Learning Center",NA,"1025 Newtown Road, NORFOLK, VA  23502","(757) 995-2085","41940_dcdf9c44752775622e3485d6c9acdc50",36.8553819865246,-76.177809031763,"Child Day Center","Two Year","Jan. 26, 2023","Mrs. Andrea  Charles",40,"2 years 6 months - 12 years","Kimberly  Sampson:  (757) 354-7307","Yes",1107954,20,"Jan. 29, 2018","July 12, 2022",10,0,6,2,12
46122,"All Day Daycare & Learning Center",NA,"4809 Shell Road, VIRGINIA BEACH, VA  23455","(757) 754-0935","46122_7d043c37dbec2c60cea3e60c43c6bda5",36.89432497923,-76.143708013065,"Child Day Center","Two Year","March 20, 2023"," Kathleen  Fenner",50,"1 month - 12 years 11 months","Arlene  Agustin:  (804) 629-7519","Yes",1108780,8,"July 27, 2020","Nov. 7, 2022",1,2,4,0,12
14743,"All Saints School Extended Day & Pre-Kindergarten Program",NA,"9294 Stonewall Road, MANASSAS, VA  20110-2545","(703) 368-4400","14743_958c4143b1bdfed135cdced8cbb22d0c",38.7535709975071,-77.4865660152801,"Child Day Center","Two Year","Feb. 19, 2024","Ms. Cecelia  Reardon",150,"4 years - 12 years 11 months","Keesha  Minor:  (540) 340-2672","No",770120,9,"Jan. 30, 2018","Dec. 12, 2022",0,0,4,4,12
43911,"Allder Montessori School",NA,"37018 Glendale Street, PURCELLVILLE, VA  20134","(540) 571-8177","43911_e5a2185bcd3486ed0eb8866df411205d",39.1291590077473,-77.7234579612145,"Child Day Center","Two Year","Feb. 27, 2024"," Janelle  Mullins",30,"3 years - 6 years 11 months","Stephanie  Salvatori:  (571) 389-0980","No",1108266,10,"Feb. 9, 2018","Sept. 22, 2022",0,0,3,3,6
